"Region","Year","Age Range","Perception of Great Risk of Drug Use","Measure Type","Variable","Value"
"Southwest Region","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",71.11
"Southwest Region","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.4
"Southwest Region","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",32.73
"Southwest Region","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.03
"Southwest Region","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",18.29
"Southwest Region","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.46
"Southwest Region","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.96
"Southwest Region","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.18
"Southwest Region","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.76
"Southwest Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.61
"Southwest Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",32.18
"Southwest Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.1
"Southwest Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.75
"Southwest Region","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.67
"Southwest Region","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",45.38
"Southwest Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",5.09
"Southwest Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.22
"Southwest Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.42
"Southwest Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",77.89
"Southwest Region","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.38
"Southwest Region","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.25
"Southwest Region","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.02
"Southwest Region","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",20.59
"Southwest Region","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.93
"Southwest Region","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.46
"Southwest Region","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.46
"Southwest Region","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",31.64
"Southwest Region","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.08
"Southwest Region","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",13.15
"Southwest Region","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.45
"Southwest Region","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.66
"Southwest Region","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.03
"Southwest Region","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",46.39
"Southwest Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.07
"Southwest Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",28.2
"Southwest Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.06
"Southwest Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",78.71
"Southwest Region","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.42
"Southwest Region","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",48.47
"Southwest Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.5
"Southwest Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",30.35
"Southwest Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.34
"Southwest Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",79.85
"Southwest Region","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.45
"Southwest Region","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.01
"Southwest Region","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4
"Southwest Region","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",21.83
"Southwest Region","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.29
"Southwest Region","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.16
"Southwest Region","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.83
"Southwest Region","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",33.02
"Southwest Region","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.33
"Southwest Region","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",12.72
"Southwest Region","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.23
"Southwest Region","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.77
"Southwest Region","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.98
"Southwest Region","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",44.91
"Southwest Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.01
"Southwest Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",26.05
"Southwest Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3
"Southwest Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",78.94
"Southwest Region","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.37
"Southwest Region","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",46.69
"Southwest Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.42
"Southwest Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",28.08
"Southwest Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.25
"Southwest Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",79.86
"United States","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0
"United States","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.68
"United States","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0
"United States","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.59
"United States","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0
"United States","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.17
"United States","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0
"United States","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",32.4
"United States","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0
"United States","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",24.93
"United States","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0
"United States","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.99
"United States","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0
"United States","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.77
"United States","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0
"United States","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",39.68
"United States","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0
"United States","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.83
"United States","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0
"United States","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.41
"United States","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0
"United States","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",42.26
"United States","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0
"United States","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.67
"United States","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.44
"United States","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.63
"United States","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.44
"United States","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.11
"United States","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.4
"United States","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.88
"United States","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.45
"United States","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",32.89
"United States","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.41
"United States","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",23.94
"United States","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.4
"United States","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.79
"United States","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.4
"United States","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.09
"United States","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.41
"United States","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",38.64
"United States","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.35
"United States","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.11
"United States","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.46
"United States","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.67
"United States","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.48
"United States","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",41.18
"United States","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.39
"United States","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.85
"United States","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.42
"United States","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.13
"United States","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.41
"United States","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",31.08
"United States","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.42
"United States","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",66.8
"United States","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.46
"United States","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",33.36
"United States","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.38
"United States","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",20.41
"United States","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.43
"United States","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",66.19
"United States","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.4
"United States","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.33
"United States","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.42
"United States","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",35.09
"United States","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.35
"United States","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.47
"United States","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.46
"United States","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.88
"United States","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.48
"United States","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",37.63
"United States","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.41
"United States","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",73.56
"United States","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.44
"United States","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.32
"United States","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.39
"United States","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",27.91
"United States","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.42
"United States","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",65.73
"United States","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.47
"United States","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",34.32
"United States","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.37
"United States","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",17.85
"United States","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.42
"United States","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",66.07
"United States","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.39
"United States","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.78
"United States","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.42
"United States","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",32.24
"United States","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.35
"United States","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.06
"United States","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.44
"United States","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",44.25
"United States","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.48
"United States","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.75
"United States","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.4
"United States","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",73.1
"United States","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.44
"United States","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.3
"United States","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.38
"United States","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",24.52
"United States","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.43
"United States","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",65.41
"United States","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.44
"United States","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",33.73
"United States","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.34
"United States","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",15.05
"United States","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.42
"United States","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",66.5
"United States","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.36
"United States","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.52
"United States","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.36
"United States","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",28.91
"United States","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.32
"United States","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",71.84
"United States","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.41
"United States","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.86
"United States","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.41
"United States","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",31.32
"United States","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.36
"United States","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.76
